Id,date,OT
0,7/1/2016 0:00,30.53100014
1,7/1/2016 1:00,27.78700066
2,7/1/2016 2:00,27.78700066
3,7/1/2016 3:00,25.04400063
4,7/1/2016 4:00,21.94799995
5,7/1/2016 5:00,21.17399979
6,7/1/2016 6:00,22.79199982
7,7/1/2016 7:00,23.1439991
8,7/1/2016 8:00,21.66699982
9,7/1/2016 9:00,17.44599915
10,7/1/2016 10:00,19.97900009
11,7/1/2016 11:00,20.11899948
12,7/1/2016 12:00,19.20499992
13,7/1/2016 13:00,18.5720005
14,7/1/2016 14:00,19.55599976
15,7/1/2016 15:00,17.30500031
16,7/1/2016 16:00,19.48600006
17,7/1/2016 17:00,19.13400078
18,7/1/2016 18:00,20.68199921
19,7/1/2016 19:00,18.71199989
20,7/1/2016 20:00,17.86800003
21,7/1/2016 21:00,18.00900078
22,7/1/2016 22:00,18.00900078
23,7/1/2016 23:00,19.76799965
24,7/2/2016 0:00,21.10400009
25,7/2/2016 1:00,19.6970005
26,7/2/2016 2:00,20.04899979
27,7/2/2016 3:00,20.75200081
28,7/2/2016 4:00,21.38500023
29,7/2/2016 5:00,22.22999954
30,7/2/2016 6:00,20.26000023
31,7/2/2016 7:00,21.10400009
32,7/2/2016 8:00,20.61199951
33,7/2/2016 9:00,18.36100006
34,7/2/2016 10:00,20.96299934
35,7/2/2016 11:00,19.41600037
36,7/2/2016 12:00,20.82299995
37,7/2/2016 13:00,20.19000053
38,7/2/2016 14:00,21.31500053
39,7/2/2016 15:00,22.0189991
40,7/2/2016 16:00,20.68199921
41,7/2/2016 17:00,25.4659996
42,7/2/2016 18:00,25.88800049
43,7/2/2016 19:00,27.85700035
44,7/2/2016 20:00,27.29500008
45,7/2/2016 21:00,22.22999954
46,7/2/2016 22:00,21.94799995
47,7/2/2016 23:00,27.29500008
48,7/3/2016 0:00,29.33499908
49,7/3/2016 1:00,26.02799988
50,7/3/2016 2:00,24.34000015
51,7/3/2016 3:00,26.45000076
52,7/3/2016 4:00,25.95800018
53,7/3/2016 5:00,24.05900002
54,7/3/2016 6:00,25.32500076
55,7/3/2016 7:00,23.63699913
56,7/3/2016 8:00,26.37999916
57,7/3/2016 9:00,27.36499977
58,7/3/2016 10:00,28.06800079
59,7/3/2016 11:00,29.47500038
60,7/3/2016 12:00,26.80200005
61,7/3/2016 13:00,29.96800041
62,7/3/2016 14:00,30.38999939
63,7/3/2016 15:00,31.16399956
64,7/3/2016 16:00,29.75699997
65,7/3/2016 17:00,32.28900146
66,7/3/2016 18:00,31.93799973
67,7/3/2016 19:00,28.56100082
68,7/3/2016 20:00,21.52599907
69,7/3/2016 21:00,22.22999954
70,7/3/2016 22:00,19.41600037
71,7/3/2016 23:00,18.5720005
72,7/4/2016 0:00,21.66699982
73,7/4/2016 1:00,25.5359993
74,7/4/2016 2:00,27.85700035
75,7/4/2016 3:00,27.9279995
76,7/4/2016 4:00,24.62100029
77,7/4/2016 5:00,23.84799957
78,7/4/2016 6:00,23.0739994
79,7/4/2016 7:00,22.51099968
80,7/4/2016 8:00,21.66699982
81,7/4/2016 9:00,25.39500046
82,7/4/2016 10:00,25.18400002
83,7/4/2016 11:00,29.54599953
84,7/4/2016 12:00,29.47500038
85,7/4/2016 13:00,29.26399994
86,7/4/2016 14:00,30.95299911
87,7/4/2016 15:00,31.72599983
88,7/4/2016 16:00,33.13299942
89,7/4/2016 17:00,28.9829998
90,7/4/2016 18:00,28.9829998
91,7/4/2016 19:00,31.72599983
92,7/4/2016 20:00,25.18400002
93,7/4/2016 21:00,30.53100014
94,7/4/2016 22:00,27.64599991
95,7/4/2016 23:00,25.4659996
96,7/5/2016 0:00,25.95800018
97,7/5/2016 1:00,25.95800018
98,7/5/2016 2:00,26.02799988
99,7/5/2016 3:00,28.91300011
100,7/5/2016 4:00,30.45999908
101,7/5/2016 5:00,31.375
102,7/5/2016 6:00,32.7820015
103,7/5/2016 7:00,31.72599983
104,7/5/2016 8:00,30.31999969
105,7/5/2016 9:00,30.45999908
106,7/5/2016 10:00,32.92200089
107,7/5/2016 11:00,31.09300041
108,7/5/2016 12:00,25.67700005
109,7/5/2016 13:00,27.15399933
110,7/5/2016 14:00,28.77199936
111,7/5/2016 15:00,30.60099983
112,7/5/2016 16:00,32.00799942
113,7/5/2016 17:00,33.13299942
114,7/5/2016 18:00,31.51499939
115,7/5/2016 19:00,31.02300072
116,7/5/2016 20:00,31.44499969
117,7/5/2016 21:00,31.72599983
118,7/5/2016 22:00,30.95299911
119,7/5/2016 23:00,30.45999908
120,7/6/2016 0:00,28.91300011
121,7/6/2016 1:00,30.38999939
122,7/6/2016 2:00,31.51499939
123,7/6/2016 3:00,31.23399925
124,7/6/2016 4:00,30.53100014
125,7/6/2016 5:00,30.10899925
126,7/6/2016 6:00,30.31999969
127,7/6/2016 7:00,29.61599922
128,7/6/2016 8:00,30.53100014
129,7/6/2016 9:00,32.99300003
130,7/6/2016 10:00,30.24900055
131,7/6/2016 11:00,30.24900055
132,7/6/2016 12:00,30.67099953
133,7/6/2016 13:00,31.58600044
134,7/6/2016 14:00,31.93799973
135,7/6/2016 15:00,28.9829998
136,7/6/2016 16:00,27.71699905
137,7/6/2016 17:00,30.67099953
138,7/6/2016 18:00,24.34000015
139,7/6/2016 19:00,29.68600082
140,7/6/2016 20:00,30.24900055
141,7/6/2016 21:00,29.96800041
142,7/6/2016 22:00,29.54599953
143,7/6/2016 23:00,28.49099922
144,7/7/2016 0:00,28.56100082
145,7/7/2016 1:00,28.77199936
146,7/7/2016 2:00,27.71699905
147,7/7/2016 3:00,28.13899994
148,7/7/2016 4:00,27.36499977
149,7/7/2016 5:00,26.73200035
150,7/7/2016 6:00,26.37999916
151,7/7/2016 7:00,25.39500046
152,7/7/2016 8:00,27.9279995
153,7/7/2016 9:00,28.9829998
154,7/7/2016 10:00,29.75699997
155,7/7/2016 11:00,30.60099983
156,7/7/2016 12:00,32.64099884
157,7/7/2016 13:00,35.38499832
158,7/7/2016 14:00,37.2840004
159,7/7/2016 15:00,38.47999954
160,7/7/2016 16:00,36.79100037
161,7/7/2016 17:00,34.11800003
162,7/7/2016 18:00,33.8370018
163,7/7/2016 19:00,33.27399826
164,7/7/2016 20:00,32.92200089
165,7/7/2016 21:00,33.62599945
166,7/7/2016 22:00,32.64099884
167,7/7/2016 23:00,31.58600044
168,7/8/2016 0:00,31.09300041
169,7/8/2016 1:00,30.74200058
170,7/8/2016 2:00,29.33499908
171,7/8/2016 3:00,28.77199936
172,7/8/2016 4:00,29.12400055
173,7/8/2016 5:00,29.26399994
174,7/8/2016 6:00,29.40500069
175,7/8/2016 7:00,28.91300011
176,7/8/2016 8:00,29.89699936
177,7/8/2016 9:00,30.53100014
178,7/8/2016 10:00,30.67099953
179,7/8/2016 11:00,30.67099953
180,7/8/2016 12:00,31.09300041
181,7/8/2016 13:00,30.88199997
182,7/8/2016 14:00,32.71099854
183,7/8/2016 15:00,34.75099945
184,7/8/2016 16:00,34.40000153
185,7/8/2016 17:00,34.32899857
186,7/8/2016 18:00,33.62599945
187,7/8/2016 19:00,33.55599976
188,7/8/2016 20:00,32.7820015
189,7/8/2016 21:00,32.14899826
190,7/8/2016 22:00,31.23399925
191,7/8/2016 23:00,30.53100014
192,7/9/2016 0:00,30.95299911
193,7/9/2016 1:00,30.31999969
194,7/9/2016 2:00,29.40500069
195,7/9/2016 3:00,28.70199966
196,7/9/2016 4:00,28.77199936
197,7/9/2016 5:00,28.91300011
198,7/9/2016 6:00,28.27899933
199,7/9/2016 7:00,28.63100052
200,7/9/2016 8:00,28.77199936
201,7/9/2016 9:00,29.96800041
202,7/9/2016 10:00,29.75699997
203,7/9/2016 11:00,30.31999969
204,7/9/2016 12:00,31.44499969
205,7/9/2016 13:00,30.74200058
