date,0,1,2,3,4,5,6,OT
1990/1/1 0:00,0.7855,1.611,0.861698,0.634196,0.211242,0.006838,0.525486,
1990/1/2 0:00,0.7818,1.61,0.861104,0.633513,0.211242,0.006863,0.523972,
1990/1/3 0:00,0.7867,1.6293,0.86103,0.648508,0.211242,0.006975,0.526316,
1990/1/4 0:00,0.786,1.637,0.862069,0.650618,0.211242,0.006953,0.523834,
1990/1/5 0:00,0.7849,1.653,0.861995,0.656254,,0.00694,0.527426,
1990/1/6 0:00,0.7866,1.6537,0.86103,0.654879,,0.006887,0.526177,
1990/1/7 0:00,0.7886,1.662,0.862887,0.661157,,0.006885,0.527565,
1990/1/8 0:00,0.791,1.6568,0.864304,0.659631,,0.006878,0.527565,
1990/1/9 0:00,0.7939,1.6695,0.86423,0.66912,,0.006878,0.528123,
1990/1/10 0:00,0.7894,1.657,0.858369,0.659413,,0.006874,0.528123,
1990/1/11 0:00,0.7917,1.6495,0.859107,0.663702,,0.006873,0.529381,
1990/1/12 0:00,0.7941,1.6445,0.853752,0.658545,,0.006844,0.529101,
1990/1/13 0:00,0.7935,1.6465,0.848176,0.660284,,0.006866,0.532765,
1990/1/14 0:00,0.7954,1.639,0.845309,0.652742,,0.006829,0.532056,
1990/1/15 0:00,0.7751,1.649,,0.66313,,0.006845,0.53135,
1990/1/16 0:00,0.7622,1.655,,0.668226,,0.006881,0.533049,
1990/1/17 0:00,0.7583,,,0.672043,,0.006924,0.532623,
1990/1/18 0:00,0.7605,,,0.667557,,0.006976,0.534188,
1990/1/19 0:00,0.7635,,,0.672948,,0.006987,0.535045,0.595
1990/1/20 0:00,,,,0.670691,,0.00694,0.537201,0.597
1990/1/21 0:00,,,,0.664894,,0.006918,0.536481,0.602
1990/1/22 0:00,,,,0.667468,0.211242,,0.536193,0.5983
1990/1/23 0:00,,,,0.668003,0.211242,,0.535475,0.6003
1990/1/24 0:00,,,,0.675584,0.211242,,0.535906,0.5998
1990/1/25 0:00,,,,0.677094,0.211242,,0.538503,0.601
1990/1/26 0:00,,,,0.674992,0.211242,,0.537779,0.5936
1990/1/27 0:00,,,,0.668986,0.211242,,0.536769,0.5915
1990/1/28 0:00,,,,0.668003,0.211242,,0.536337,0.593
1990/1/29 0:00,,,,0.668539,0.211242,,0.536625,
1990/1/30 0:00,,,,0.668003,0.211242,,0.535906,
1990/1/31 0:00,,,,0.670107,0.211242,,0.536625,
1990/2/1 0:00,,,0.829187,0.668673,0.211242,,0.536193,
1990/2/2 0:00,,,0.834028,0.669568,0.211242,,0.535045,
1990/2/3 0:00,,,0.831947,0.673401,0.211242,,0.537634,
1990/2/4 0:00,,,0.832432,0.678104,0.211242,,0.537346,
1990/2/5 0:00,,,0.83717,0.679117,0.211242,,0.536481,
1990/2/6 0:00,,,0.835422,0.677048,0.211242,,0.535906,
1990/2/7 0:00,,,0.834725,0.672495,0.211242,,0.536193,
1990/2/8 0:00,,,0.83696,0.674172,,,0.536049,
1990/2/9 0:00,,,0.838715,0.670466,,,0.535619,
1990/2/10 0:00,,,0.840195,0.664011,0.211242,,0.533333,
1990/2/11 0:00,,,0.837521,0.66072,0.211242,,0.533333,
1990/2/12 0:00,,,0.839913,0.666667,0.211242,,0.534045,
1990/2/13 0:00,,,0.84246,0.666889,0.211242,,0.533903,
1990/2/14 0:00,,,0.843811,0.663702,0.211242,,0.533476,
1990/2/15 0:00,,,0.847817,0.662559,0.211242,,0.533618,
1990/2/16 0:00,,,0.847961,0.661244,0.211242,,0.534045,
1990/2/17 0:00,,,0.848176,,0.211242,0.006563,0.533618,
1990/2/18 0:00,,,0.849041,,0.211242,0.006555,0.532623,
1990/2/19 0:00,,,0.851426,,,0.006569,0.533333,
1990/2/20 0:00,,,0.848896,,,0.006555,0.533333,
1990/2/21 0:00,,,0.847242,,,0.006563,0.533618,
1990/2/22 0:00,,,0.844809,,,0.006515,0.533618,
1990/2/23 0:00,,,0.847961,,,0.006499,0.533476,
1990/2/24 0:00,,,0.849762,,,0.006487,0.532056,
1990/2/25 0:00,,,0.849834,,,0.006447,0.53135,
1990/2/26 0:00,,,0.851064,,,0.006498,0.531773,
1990/2/27 0:00,,,0.850412,,,0.00639,0.530926,0.5805
1990/2/28 0:00,,,0.85034,0.658762,,0.006353,0.530786,0.5808
1990/3/1 0:00,,,0.850196,0.659631,,0.006299,0.529801,0.5767
1990/3/2 0:00,,,0.851571,0.667557,,0.00638,0.530082,0.5783
1990/3/3 0:00,,,0.854336,,,0.006336,0.530363,0.579
1990/3/4 0:00,,,0.855066,,,0.006293,0.530223,0.5778
1990/3/5 0:00,,,0.857486,,,0.006284,0.530645,0.577
1990/3/6 0:00,,1.6415,0.856678,,0.211242,0.006305,0.531915,0.579
1990/3/7 0:00,,1.6415,0.855725,,0.211242,0.006342,0.532481,0.5782
1990/3/8 0:00,,1.6385,0.858001,,0.211242,0.006343,0.533191,0.578
1990/3/9 0:00,,1.6385,0.860807,,0.211242,0.006349,0.532765,0.5784
1990/3/10 0:00,,1.6343,0.860956,,0.211242,0.006306,0.531915,0.5783
1990/3/11 0:00,,1.6425,0.858222,,0.211242,0.006318,0.532623,
1990/3/12 0:00,,1.642,0.859771,,,0.006322,0.532765,
1990/3/13 0:00,,1.6385,0.858369,,,0.006299,0.532765,
1990/3/14 0:00,,1.631,0.856898,,,0.006275,0.532765,
1990/3/15 0:00,,1.6338,0.855945,,,,0.532198,
1990/3/16 0:00,,1.638,0.860363,,,,0.532056,
1990/3/17 0:00,,1.6435,0.860659,,,,0.533333,
1990/3/18 0:00,,1.6353,0.859993,,,,0.533333,
1990/3/19 0:00,,1.6357,0.861326,,,,0.532623,
1990/3/20 0:00,,1.6341,0.862589,,,,0.532056,
1990/3/21 0:00,,1.637,0.861475,,,,0.532623,0.5817
1990/3/22 0:00,,1.6335,0.86192,,,,0.532623,0.5755
1990/3/23 0:00,,1.636,0.85955,0.686342,0.211242,,0.532623,0.5735
1990/3/24 0:00,,1.6389,0.858074,0.689417,0.211242,,0.532765,0.5748
1990/3/25 0:00,,1.6405,0.858516,0.687049,0.211242,,0.533049,0.5685
1990/3/26 0:00,,,0.856678,0.687049,0.211242,,0.533333,0.5708
1990/3/27 0:00,,,0.856898,,0.211242,,0.532623,0.5727
1990/3/28 0:00,,,0.859623,,0.211242,,0.533049,0.5726
1990/3/29 0:00,,,0.860215,,0.211242,,0.533049,0.5726
1990/3/30 0:00,,,0.859476,,0.211242,,0.534902,0.5747
1990/3/31 0:00,,,,,0.211242,,,0.5721
